test/functional/fixtures/es_archiver/many_fields,1.1,1.0,1.3,local,4,5000
test/functional/fixtures/es_archiver/message_with_newline,0.4,0.3,0.4,local,4,5000
test/functional/fixtures/es_archiver/stress_test,0.9,0.9,0.9,local,4,5000
test/functional/fixtures/es_archiver/unmapped_fields,0.3,0.3,0.4,local,4,5000
test/functional/fixtures/es_archiver/dashboard/current/data,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/getting_started/shakespeare,5.0,3.2,8.7,local,4,5000
test/functional/fixtures/es_archiver/index_pattern_without_timefield,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/kibana_sample_data_flights,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/logstash_functional,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/functional/es_archives/dashboard/async_search,0.1,0.1,0.1,local,4,5000
x-pack/test/functional/es_archives/fleet/agents,6.7,6.4,6.9,local,4,5000
x-pack/test/functional/es_archives/getting_started/shakespeare,3.5,3.2,3.8,local,4,5000
x-pack/test/functional/es_archives/graph/secrepo,0.7,0.6,0.7,local,4,5000
x-pack/test/functional/es_archives/lens/rollup/data,0.5,0.5,0.5,local,4,5000
x-pack/test/functional/es_archives/logstash_functional,3.3,3.2,3.4,local,4,5000
x-pack/test/functional/es_archives/ml/bm_classification,0.5,0.4,0.7,local,4,5000
x-pack/test/functional/es_archives/ml/categorization_small,0.4,0.4,0.4,local,4,5000
x-pack/test/functional/es_archives/ml/ecommerce,0.7,0.7,0.7,local,4,5000
x-pack/test/functional/es_archives/ml/egs_regression,0.3,0.3,0.3,local,4,5000
x-pack/test/functional/es_archives/ml/event_rate_nanos,1.9,1.9,2.0,local,4,5000
x-pack/test/functional/es_archives/ml/farequote,2.0,2.0,2.0,local,4,5000
x-pack/test/functional/es_archives/ml/farequote_small,0.3,0.3,0.3,local,4,5000
x-pack/test/functional/es_archives/ml/ihp_outlier,0.3,0.3,0.4,local,4,5000
x-pack/test/functional/es_archives/ml/module_sample_ecommerce,0.3,0.3,0.4,local,4,5000
x-pack/test/functional/es_archives/ml/module_sample_logs,0.3,0.3,0.3,local,4,5000
x-pack/test/functional/es_archives/reporting/unmapped_fields,0.3,0.3,0.3,local,4,5000
x-pack/test/functional/es_archives/security/dlstest,0.7,0.7,0.8,local,4,5000
x-pack/test/functional/es_archives/uptime/blank,0.3,0.3,0.3,local,4,5000
x-pack/test/functional/es_archives/visualize/default,0.0,0.0,0.1,local,4,5000
x-pack/test/saved_object_tagging/common/fixtures/es_archiver/logstash_functional,2.8,2.8,2.8,local,4,5000
x-pack/test/monitoring_api_integration/archives/apm/metricbeat,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/apm/package,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/beats/metricbeat,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/beats/package,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/elasticsearch/metricbeat,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/elasticsearch/package,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/enterprisesearch/metricbeat,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/enterprisesearch/package,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/kibana/single_node/metricbeat,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/kibana/single_node/package,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/logstash/single_node/metricbeat,NaN,Infinity,-Infinity,local,4,5000
x-pack/test/monitoring_api_integration/archives/logstash/single_node/package,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/dashboard/current/data,36.1,34.5,37.5,serverless,0,300
test/functional/fixtures/es_archiver/saved_objects_management/export_exclusion,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/saved_objects_management/export_transform,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/saved_objects_management/hidden_from_http_apis,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/saved_objects_management/hidden_saved_objects,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/saved_objects_management/hidden_types,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/saved_objects_management/nested_export_transform,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/saved_objects_management/visible_in_management,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/search/downsampled,26.6,26.1,27.4,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/8.0.0,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/apm_8.0.0,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/apm_mappings_only_8.0.0,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/infra_metrics_and_apm,70.0,68.0,72.2,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/metrics_8.0.0,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/ml_8.0.0,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/observability_overview,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/rum_8.0.0,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/rum_test_data,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/alias,8.3,7.6,8.9,serverless,0,300
